username,comment,time,labeling,kategori
@delliananda,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",14-Oct-19,0,Not Bully
@fenninbl,"""makan nasi padang aja begini badannya""",14-Oct-19,0,Not Bully
@abdurahmanshq,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",14-Oct-19,1,Bully Fatal
@najla.yoo,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",14-Oct-19,0,Not Bully
@dessy_______,"""Manusia apa bidadari sih herann deh cantik terus 😌♥️""",14-Oct-19,0,Not Bully
@e.fril,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",14-Oct-19,1,Bully Ringan
@bahasa.bayi.planet,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",16-Sep-19,0,Not Bully
@khanayarudinita,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",22-Jun-19,1,Bully Ringan
@reniaulia225,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",22-Jun-19,1,Bully Ringan
@nurjanah.hani,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",22-Jun-19,1,Bully Ringan
@rizalandriawanp,"""Muka nya muka kolot hahaha bukan muka bayi2 lucu gt""",6-Jun-19,1,Bully Ringan
@yudharamm,"""Udah gila sekarang ini orang haha, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",24-Dec-20,1,Bully Ringan
@mubarakbasslom,"""Lo sintingnya udah tingkat dewa""",24-Dec-20,1,Bully Ringan
@erma_09,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",24-Dec-20,1,Bully Ringan
@rurrizki_maulana,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",28-Oct-20,1,Bully Fatal
@lala.laxii,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",8-Dec-20,1,Bully Ringan
@menisa6634,"""Woy Lutfi asu , sok asik Lo ANJING !""",8-Dec-20,1,Bully Fatal
@farsyahl_,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",6-Dec-20,1,Bully Fatal
@lennyliando,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",16-Jun-20,1,Bully Fatal
@tatianayaaaa,"""Anaknya udh pinter, emaknya yang kelempengan.. berasa masih baby, tingginya azka aja melebihi mamanya..""",25-Oct-20,1,Bully Ringan
@ferlista234,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",25-Oct-20,0,Not Bully
@sekiya.sat,"""Setengah iri setengah jadi motivasi ini""",25-Oct-20,0,Not Bully
@emi_muslikah,"""Ancur hidup lu kalau sama dia… Sumpah..""",15-Nov-20,1,Bully Ringan
@tetikasmy7615,"""serem banget muka lo mel kayak ayam potong merah banget""",27-Dec-20,1,Bully Ringan
@xcnadilax,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih hahaha""",27-Dec-20,0,Not Bully
@ghy.14,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",27-Dec-20,0,Not Bully
@rubybee_16,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",27-Dec-20,1,Bully Ringan
@syi_faalatas,"""Apaan sih gak jelas hidupnya""",28-Dec-20,1,Bully Ringan
@swity_nananana,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",28-Dec-20,1,Bully Ringan
@dellasss1,"""muka lu sensual tapi norak kenapa dah""",28-Dec-20,1,Bully Ringan
@bundafahryfahry,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",28-Dec-20,0,Not Bully
@jeenida_abdullah_aras,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",28-Dec-20,0,Not Bully
@depoy110,"""Cakep kaga jelek iya HAHAH""",28-Dec-20,1,Bully Ringan
@ferd.iansyah454,"""jari jari kaki kayak jarinya tukang panggul""",26-Dec-20,1,Bully Ringan
@chenul98,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",26-Dec-20,1,Bully Ringan
@rani__ara,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",26-Dec-20,0,Not Bully
@octaviandiajeng,"""Ini diedit biar langsing padahal mah kalo live bomber badannya""",26-Dec-20,1,Bully Ringan
@rubybee_16,"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",26-Dec-20,1,Bully Ringan
@__yohanatan__,"""Bagusan foto pakai masker drpd gak pakai masker""",26-Dec-20,0,Not Bully
@hartaman_soe,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",26-Dec-20,1,Bully Fatal
@maskersssssj,"""Bra nya kedodoran kak make ukuran gede yaa""",20-Dec-20,1,Bully Ringan
@yiunita,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",20-Dec-20,0,Not Bully
@anggrainikoenang,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",20-Dec-20,1,Bully Ringan
@nadhiya_za,"""Semoga lancar terus usahanya mel""",20-Dec-20,0,Not Bully
@riaros,"""Cantik banget kalo meldi muka natural kek gini""",20-Dec-20,0,Not Bully
@lialiya25,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",20-Dec-20,0,Not Bully
@dianaherdani18,"""Kaku kek kanebo kering hahaha""",20-Dec-20,1,Bully Ringan
@priskaaben,"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",20-Dec-20,0,Not Bully
@apelu.liat2,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",22-Dec-20,1,Bully Ringan
@arjhunot,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",22-Dec-20,1,Bully Ringan
@meta_fira,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",22-Dec-20,1,Bully Ringan
@aii_rinz95,"""Iya lo kamu mirip monyet mel""",22-Dec-20,1,Bully Fatal
@dwiengine,"""Bagusan pantat panci aing atuh anjir""",22-Dec-20,1,Bully Ringan
@evilsilviani27,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",22-Dec-20,1,Bully Ringan
@naviafadia,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",22-Dec-20,0,Not Bully
@lee406132,"""Lengannya gempal banget sih HAHA""",22-Dec-20,1,Bully Ringan
@ummuhumairoh__,"""Fix yang komen semua nyela""",22-Dec-20,0,Not Bully
@mareeet30,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",22-Dec-20,0,Not Bully
@rifkohalim,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",22-Dec-20,1,Bully Ringan
@ooohh_vhie,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",22-Dec-20,1,Bully Fatal
@effa.kejora,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",22-Dec-20,0,Not Bully
